sys_SequentialRespondentNumber,sys_InternalRespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,quota,consent_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,comments,sys_RespStatus,sys_DispositionCode,sys_CBCVersion_CBC,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript
1,782451,7/27/11 2:30,7/27/11 2:46,956,3,1,1,1,1,2,1,,,1,10,16,1,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,1,1,2,3,2,3,2,1,1,1,2,3,3,4,5,2,4,4,3,4,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,9,2,1,5,19,2,8,54,,5,7,6,,5,,795,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
2,1152887,7/27/11 2:53,7/27/11 3:08,893,3,1,1,1,1,2,1,1,,1,10,16,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,2,3,1,2,1,1,3,2,2,1,2,1,2,1,3,4,5,5,2,3,3,4,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,19,9,5,1,9,2,6,,,5,1,1,,5,,31,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
3,1232278,7/27/11 3:14,7/27/11 3:17,197,3,1,1,1,3,2,1,10,SUV,3,8,4,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,3,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
4,730325,7/27/11 3:30,7/27/11 3:31,20,3,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
5,1655740,7/27/11 3:35,7/27/11 3:48,770,3,1,1,1,1,2,1,10,__É_÷Å,1,10,16,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,1,2,2,3,2,1,1,1,2,1,3,3,1,2,1,2,3,4,5,5,4,5,4,5,5,4,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,9,9,3,2,1,1,5,34,,8,3,2,,5,,152,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
6,1534347,7/27/11 3:50,7/27/11 4:01,643,3,1,1,1,3,2,1,21,Œü¥èê¬çä_,2,2,2,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,1,3,3,3,2,1,2,1,1,2,3,3,3,2,3,1,5,3,5,5,4,4,4,3,5,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,9,20,16,2,5,1,4,54,,5,3,2,,5,,156,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
7,1191874,7/27/11 5:00,7/27/11 5:10,610,1,1,1,1,2,3,1,31,QQ,,8,14,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,2,3,3,1,2,1,1,2,3,3,3,1,1,1,2,3,4,2,5,5,4,5,4,3,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,10,5,,3,1,3,,,5,1,1,,5,,641,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
8,621527,7/27/11 5:54,7/27/11 6:06,700,3,1,1,1,3,2,1,15,C200,2,5,7,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,2,1,2,3,3,2,3,1,1,3,1,1,1,3,3,3,3,5,5,4,4,5,5,5,4,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,14,20,2,19,1,3,54,10029,3,7,6,,5,,28,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
9,1433749,7/27/11 6:30,7/27/11 6:42,674,1,1,1,1,2,3,1,31,QQ,2,5,10,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,1,1,1,1,3,3,3,2,3,1,1,3,3,1,2,4,4,5,5,2,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,7,13,11,1,4,1,5,,,5,7,6,,5,,998,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1
10,1332056,7/27/11 6:57,7/27/11 7:02,283,1,1,1,1,2,2,1,19,Œ´´_ÜÒ,2,5,9,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,2,2,2,3,2,3,1,2,2,1,2,3,2,2,1,3,4,4,5,5,2,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,9,8,11,1,5,1,3,54,,,7,6,,5,,576,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1
11,821263,7/29/11 2:51,7/29/11 2:51,14,3,1,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
12,1650830,7/29/11 2:52,7/29/11 3:04,743,3,1,1,1,1,2,1,,,1,10,16,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,3,2,2,1,1,2,2,2,3,1,3,1,1,2,5,5,3,3,2,3,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,4,0,2,2,19,13,5,19,1,8,38,,3,3,2,,5,,639,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1
