"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,1058280,2011-7-27 04:09,2011-7-27 04:20,653,3,1,1,1,3,2,1,31,"QQ",2,8,14,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,1,3,2,1,1,2,3,3,2,3,2,2,3,1,4,2,5,5,4,5,4,4,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,10,21,2,4,1,4,54,"",5,2,2,"",5,,168,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
2,1333270,2011-7-27 05:29,2011-7-27 05:41,705,3,1,1,1,1,2,1,1,"",1,10,16,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,1,2,3,2,2,2,3,1,2,1,2,3,3,3,5,5,3,4,3,3,5,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,5,13,2,3,19,1,3,49,"",4,4,1,"",5,,191,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
3,646378,2011-7-27 06:10,2011-7-27 06:22,740,3,1,1,1,3,2,1,31,"QQ",3,8,14,3,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,2,1,2,2,1,3,3,1,2,2,1,3,2,2,3,2,4,4,5,5,2,4,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,4,3,1,3,1,4,54,"",8,,6,"",5,,52,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
4,1112923,2011-7-29 02:13,2011-7-29 02:23,577,1,1,1,1,2,3,1,13,"508",2,2,3,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,3,1,2,2,1,1,1,2,3,1,1,1,3,3,2,4,3,2,3,1,4,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,16,20,19,3,8,1,3,39,"",5,2,2,"",5,,972,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
5,1509685,2011-7-29 04:08,2011-7-29 04:24,924,1,1,1,1,2,2,1,38,"捷达",2,5,8,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,3,2,3,2,3,3,2,3,2,2,3,3,2,2,2,4,2,5,5,4,4,3,4,4,4,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,1,14,3,10,1,3,,"",6,2,2,"",5,,271,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
6,1660912,2011-7-29 05:18,2011-7-29 05:30,699,3,1,1,1,1,2,1,,"",1,10,16,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,3,1,3,3,3,1,3,2,2,1,2,3,4,5,5,4,4,4,3,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,10,15,22,1,6,1,2,46,"",5,1,2,"",5,,846,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
7,1392686,2011-7-29 05:37,2011-7-29 05:49,718,3,1,1,1,3,2,1,16,"菱悦",2,2,7,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,2,1,1,2,3,3,2,1,1,3,3,1,3,1,2,3,4,5,5,4,5,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,15,10,21,1,7,1,2,46,"",4,1,2,"",5,,411,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
8,834175,2011-7-30 03:31,2011-7-30 03:42,664,3,1,1,1,1,2,1,1,"",1,10,16,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,2,2,2,3,3,1,2,3,3,2,1,1,2,1,2,2,2,5,5,4,4,4,4,4,5,1,0,0,0,0,1,2,3,0,0,0,0,3,0,0,1,2,1,12,5,5,1,2,42,"",2,2,2,"",5,,10,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
9,1180062,2011-7-30 03:44,2011-7-30 03:56,772,3,1,1,1,3,2,1,67,"夏利",2,5,5,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,2,2,2,2,2,1,3,3,2,3,3,3,4,5,3,4,4,3,3,4,5,5,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,30,22,11,5,5,1,3,41,"100010",2,2,2,"",5,,443,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE)","MSIE 8.0","Windows XP","127.0.0.1",1
10,1013017,2011-7-30 05:10,2011-7-30 05:22,703,3,1,1,1,1,2,1,1,"",1,10,16,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,1,2,2,3,2,1,2,2,2,3,2,2,3,1,3,4,4,5,5,4,4,5,3,5,5,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,13,7,14,2,8,,3,41,"",4,2,2,"",5,,318,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1)","MSIE 8.0","Windows XP","127.0.0.1",1
