"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,820187,2012-8-9 09:12,2012-8-9 09:13,38,-1,1,1,1,3,4,3,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",4,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
2,823377,2012-8-9 06:28,2012-8-9 06:37,495,4,1,1,1,1,2,3,1,"",1,9,15,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,1,2,1,1,2,1,1,3,1,2,2,4,5,5,5,4,4,4,4,5,2,0,0,0,0,5,0,2,0,0,0,0,0,0,4,0,,5,1,14,5,2,2,2,30,"",1,3,2,"无",5,,286,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
3,880827,2012-8-9 07:41,2012-8-9 07:51,594,4,1,1,1,3,2,3,10,"雅阁",2,9,4,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,3,2,1,1,1,2,1,2,2,2,1,3,3,2,1,3,3,5,5,3,5,4,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,14,2,21,1,1,2,3,48,"",5,1,1,"无",5,,599,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
4,1010590,2012-8-9 09:13,2012-8-9 09:27,820,4,1,1,1,3,2,3,67,"",2,9,15,3,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,2,3,2,3,3,2,1,1,2,2,2,2,2,1,2,3,4,2,2,5,2,4,4,4,3,2,0,0,0,0,5,1,2,0,0,0,1,2,0,0,0,3,67,,,4,19,2,2,35,"",8,3,2,"",5,,90,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
5,1117706,2012-8-9 05:51,2012-8-9 06:00,542,3,1,1,1,1,2,1,1,"",2,10,16,1,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,3,1,1,1,1,1,1,2,3,3,4,4,4,5,4,5,3,4,5,5,1,2,0,0,0,1,0,3,4,0,0,0,0,0,5,3,1,11,17,3,7,1,4,47,"",5,1,6,"",5,,388,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
6,1228117,2012-8-9 07:33,2012-8-9 07:40,438,6,1,1,1,1,3,3,1,"",2,9,1,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,4,5,4,5,5,5,4,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,14,1,2,1,19,2,2,49,"",5,1,1,"无",5,,786,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
7,1235895,2012-8-9 06:03,2012-8-9 06:11,475,3,1,1,1,1,2,1,1,"",2,10,16,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,3,1,2,2,2,3,1,1,2,4,4,4,5,4,4,3,4,3,4,1,2,0,0,0,1,0,3,4,0,1,2,0,0,0,3,1,11,17,2,8,1,4,47,"",4,1,6,"无",5,,848,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
8,1329515,2012-8-9 09:03,2012-8-9 09:12,534,6,1,1,1,1,3,3,1,"",2,10,16,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,3,3,2,3,2,2,3,2,1,1,3,3,3,1,4,1,5,5,4,4,2,3,4,4,0,0,0,0,5,1,2,0,0,0,0,0,0,0,5,3,61,3,12,5,19,1,3,50,"",2,7,1,"无",5,,264,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
9,1352106,2012-8-9 08:35,2012-8-9 08:45,601,6,1,1,1,1,3,3,1,"",1,9,15,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,1,2,3,2,2,3,2,2,3,2,2,4,4,5,5,4,4,4,4,3,4,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,3,1,3,19,5,19,2,2,54,"",8,7,6,"无",5,,906,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
10,1462555,2012-8-9 05:07,2012-8-9 05:17,571,4,1,1,1,1,2,3,1,"",1,10,16,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,2,1,2,3,2,1,2,2,2,2,4,2,4,5,5,4,4,4,4,4,0,0,0,0,5,0,2,0,0,0,0,2,0,0,0,1,10,13,16,2,1,2,4,38,"",2,2,2,"无",5,,333,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
