"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,604685,2012-8-11 03:03,2012-8-11 03:14,705,3,1,1,1,1,2,1,13,"",1,9,15,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,5,5,5,5,2,4,3,3,3,3,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,10,16,1,5,19,1,8,54,"",8,7,6,"",5,,4,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
2,713868,2012-8-9 08:03,2012-8-9 08:17,823,5,1,1,1,1,3,1,1,"",1,10,16,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,3,3,1,3,2,1,3,2,1,2,1,1,1,3,1,4,5,5,5,4,3,2,3,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,19,20,5,14,1,5,41,"",4,1,2,"无",5,,773,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
3,813598,2012-8-9 06:13,2012-8-9 06:23,589,3,1,1,1,1,2,1,1,"",1,10,16,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,2,1,1,3,2,1,3,3,4,5,5,4,4,4,4,4,5,0,2,0,0,0,0,0,0,4,0,0,0,0,0,5,1,1,2,9,4,19,1,4,47,"",8,1,1,"无",5,,302,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
4,953743,2012-8-10 10:06,2012-8-10 10:14,473,4,1,1,1,1,2,3,1,"",2,10,16,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,1,2,2,1,3,3,3,2,2,2,3,2,2,3,2,4,4,5,5,4,5,5,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,4,6,13,5,19,2,3,54,"",5,1,1,"无",5,,210,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
5,970186,2012-8-9 08:02,2012-8-9 08:03,40,5,1,1,1,3,3,1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",2,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
6,1196808,2012-8-10 10:05,2012-8-10 10:05,20,-1,1,1,1,1,2,2,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",4,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0","Chrome 14.0.802.30","Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko","127.0.0.1",1
7,482074,2012-8-9 04:23,2012-8-9 04:34,661,5,1,1,1,1,3,1,,"",1,9,15,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,2,2,2,1,1,2,2,2,3,3,2,2,2,2,3,3,4,5,5,3,4,3,4,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,20,4,21,5,19,1,4,47,"",8,1,1,"无",5,,622,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
8,511429,2012-8-10 10:10,2012-8-10 10:20,585,4,1,1,1,1,2,3,1,"",2,9,15,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,1,3,3,2,2,2,2,2,3,3,1,2,1,3,2,1,1,5,5,5,3,3,4,5,5,0,0,0,4,0,0,0,3,0,0,0,0,0,0,5,3,5,2,23,5,19,2,8,49,"",8,1,1,"无",5,,852,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
9,587498,2012-8-10 03:59,2012-8-10 04:13,840,4,1,1,1,3,2,3,67,"长安铃木雨燕",3,2,2,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,3,2,3,3,1,2,3,1,1,2,2,4,5,5,5,3,4,4,4,5,3,1,2,0,0,0,1,2,3,4,0,0,0,0,0,5,2,20,3,19,5,3,1,3,47,"610031",2,1,2,"无",5,,957,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
10,815902,2012-8-10 08:58,2012-8-10 08:58,33,6,1,1,1,1,3,3,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",2,,,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
