"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,490839,2012-7-27 04:23,2012-7-27 04:32,510,3,1,1,1,1,2,1,1,"",1,10,16,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,3,2,2,3,1,2,1,2,3,3,2,4,4,4,5,3,4,4,4,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,1,2,14,2,19,1,3,20,"",2,2,2,"",5,,132,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
2,493446,2012-7-30 09:58,2012-7-30 10:09,639,6,1,1,1,1,3,3,1,"",1,10,16,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,2,1,2,3,1,2,2,2,2,1,2,2,4,3,5,5,4,4,4,4,4,4,0,0,0,0,5,1,2,3,0,0,0,0,0,0,5,3,7,11,13,5,11,2,3,21,"",4,2,2,"无",5,,500,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
3,501286,2012-7-27 08:34,2012-7-27 08:44,569,4,1,1,1,1,2,3,1,"",1,10,16,1,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,1,1,2,3,2,3,2,3,2,3,2,3,5,4,5,5,,4,4,4,4,4,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0,1,14,13,19,2,2,2,3,21,"",2,2,2,"无",5,,604,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
4,502148,2012-7-28 09:46,2012-7-28 09:59,790,6,1,1,1,3,3,3,10,"",2,10,16,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,1,2,3,1,1,3,1,1,2,2,4,4,5,4,4,3,4,4,3,4,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0,1,9,19,11,3,10,2,3,19,"",2,2,2,"",5,,966,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
5,507234,2012-7-27 07:06,2012-7-27 07:11,324,6,1,1,1,1,3,3,1,"",1,10,16,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,3,2,1,3,1,2,2,2,2,1,2,1,2,2,2,4,4,4,5,4,4,3,4,4,4,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0,3,2,19,5,3,3,1,3,49,"",3,1,1,"无",5,,605,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
6,532395,2012-7-28 06:09,2012-7-28 06:21,754,5,1,1,1,3,3,1,57,"550",2,7,8,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,3,1,3,1,1,1,3,1,2,3,2,1,3,1,3,1,5,5,2,2,2,3,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,2,20,1,2,16,1,,33,"",5,2,2,"",5,,83,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
7,539045,2012-7-28 02:36,2012-7-28 02:45,548,5,1,1,1,1,3,1,1,"",1,10,16,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,4,4,5,5,4,4,4,3,4,4,0,0,0,0,5,1,0,0,0,0,1,2,3,0,0,1,5,9,20,3,8,2,3,13,"200002",2,2,2,"无",5,,586,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
8,541111,2012-7-27 06:08,2012-7-27 06:18,556,4,1,1,1,3,2,3,12,"千里马",2,1,15,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,2,3,3,2,2,3,3,2,3,2,2,3,2,1,3,3,4,4,2,4,3,3,4,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,3,2,1,7,1,13,1,3,50,"",3,1,1,"无",5,,563,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
9,541652,2012-7-30 10:46,2012-7-30 10:56,555,6,1,1,1,1,3,3,1,"",1,10,16,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,1,1,2,2,1,3,3,1,2,2,3,5,3,4,5,3,4,3,3,4,4,0,0,0,0,5,1,0,0,4,0,0,0,0,0,5,3,9,16,13,1,10,2,2,45,"",4,1,1,"无",5,,954,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
10,552520,2012-7-27 02:30,2012-7-27 02:38,482,3,1,1,1,1,2,1,1,"",1,10,16,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,2,3,1,1,3,2,1,1,1,2,1,3,2,5,5,4,4,4,4,5,4,0,0,0,0,5,0,2,0,0,0,0,0,0,0,5,3,2,13,20,5,10,2,3,48,"",5,1,1,"无",5,,468,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
