"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,922369,2012-7-27 05:21,2012-7-27 05:28,468,4,1,1,1,1,2,3,1,"",1,2,15,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,1,2,1,1,1,2,1,3,1,3,2,2,3,2,5,3,5,5,3,4,4,4,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,14,2,21,2,7,1,3,49,"",4,1,1,"可以更简略点。",5,,536,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon/3.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
2,486478,2012-7-28 05:34,2012-7-28 05:43,496,3,1,1,1,1,2,1,1,"",1,10,16,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,3,2,3,1,2,1,2,2,3,3,3,2,1,2,3,3,5,5,3,5,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,1,3,14,2,12,1,2,43,"",5,1,2,"无",5,,758,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.1; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
3,533357,2012-7-28 05:46,2012-7-28 05:56,617,5,1,1,1,3,3,1,20,"锐志",2,7,10,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,1,2,1,2,1,2,3,1,3,1,3,2,4,5,5,2,4,3,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,14,8,4,1,15,1,5,24,"",4,3,2,"无",5,,515,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.1; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
4,695182,2012-7-27 06:25,2012-7-27 06:35,569,3,1,1,1,1,2,1,1,"",1,10,16,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,3,3,5,5,4,5,3,3,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,2,1,14,3,18,1,3,26,"",5,2,2,"无",5,,674,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.1; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
5,480468,2012-7-29 06:14,2012-7-29 06:36,1302,3,1,1,1,1,2,1,1,"",1,10,16,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,3,3,3,2,1,2,1,2,2,3,3,1,1,3,2,4,4,5,5,4,4,4,4,5,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,,5,7,19,5,8,1,3,43,"",5,1,1,"无",5,,715,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0) QQBrowser/6.14.14517.201","MSIE 7.0","Windows XP","127.0.0.1",1
6,636894,2012-7-29 03:40,2012-7-29 03:50,604,4,1,1,1,1,2,3,1,"",1,10,16,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,2,2,2,2,3,3,1,2,2,3,2,2,3,3,5,5,4,4,4,4,5,5,0,0,3,0,5,0,0,3,0,0,0,0,0,0,5,3,1,7,9,3,4,2,3,16,"",5,2,2,"无",5,,13,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0) QQBrowser/6.14.14517.201","MSIE 7.0","Windows XP","127.0.0.1",1
7,675781,2012-7-27 06:01,2012-7-27 06:08,445,3,1,1,1,1,2,1,1,"",1,10,16,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,3,2,2,1,1,2,2,1,2,2,2,3,2,2,4,4,4,4,4,3,4,4,4,4,0,0,0,0,5,1,0,0,0,0,0,0,0,4,0,3,19,7,18,5,2,1,4,29,"",4,3,2,"",5,,553,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0) QQBrowser/6.14.14517.201","MSIE 7.0","Windows XP","127.0.0.1",1
8,762785,2012-7-28 05:14,2012-7-28 05:22,485,1,1,1,1,2,3,1,2,"a4",2,6,15,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,3,1,3,2,2,1,2,2,1,2,3,4,4,5,5,,5,4,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,1,6,19,,10,2,3,26,"",5,2,2,"无",5,,479,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0) QQBrowser/6.14.14517.201","MSIE 7.0","Windows XP","127.0.0.1",1
9,817504,2012-7-30 05:46,2012-7-30 06:05,1132,1,1,1,1,2,1,1,13,"标致",2,5,10,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,2,1,2,2,3,2,2,2,3,1,1,1,3,4,4,5,4,4,3,4,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,3,5,12,15,4,15,1,3,22,"",4,,,"",5,,340,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0) QQBrowser/6.14.14517.201","MSIE 7.0","Windows XP","127.0.0.1",1
10,828852,2012-7-28 08:10,2012-7-28 08:22,711,5,1,1,1,1,3,1,1,"",1,10,16,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,3,2,3,3,3,1,3,2,2,1,3,3,4,4,5,5,3,4,4,4,5,5,0,0,0,0,5,0,2,0,0,0,0,0,3,0,5,1,21,22,27,1,7,1,4,29,"",4,2,2,"无",5,,204,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0) QQBrowser/6.14.14517.201","MSIE 7.0","Windows XP","127.0.0.1",1
