"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,534660,2011-8-3 08:26,2011-8-3 08:44,1080,5,1,1,1,1,3,1,1,"",1,10,16,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,3,1,1,2,3,2,1,2,3,3,2,1,1,2,4,4,5,4,5,4,3,4,4,4,0,0,0,0,5,0,2,3,0,0,0,0,3,0,0,1,2,7,15,5,2,1,5,27,"",2,3,2,"",5,,199,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
2,548852,2011-8-3 04:13,2011-8-3 04:26,739,1,1,1,1,2,3,1,11,"伊兰特",2,2,9,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,2,3,3,2,1,2,3,3,2,2,1,2,2,3,5,1,4,5,2,4,3,3,5,5,1,0,0,0,0,1,2,0,0,0,0,0,0,4,0,1,10,2,4,3,15,2,3,41,"",4,2,2,"调查很有意义，对车的改进与发展有重大意义",5,,598,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
3,596068,2011-8-3 09:13,2011-8-3 09:24,622,1,1,1,1,2,3,1,8,"福克斯",2,2,4,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,3,3,1,3,3,2,2,3,2,3,2,3,3,2,4,4,5,5,4,5,3,3,3,3,1,0,0,0,0,0,2,3,0,0,1,0,0,0,0,2,5,1,7,1,9,2,2,44,"",4,2,2,"没有",5,,592,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
4,628556,2011-8-2 04:01,2011-8-2 04:12,643,5,1,1,1,1,3,1,1,"",1,10,16,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,3,1,1,2,2,1,3,3,4,3,5,5,5,4,4,4,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,1,22,3,3,3,1,4,47,"518000",5,1,1,"挺不错的",5,,810,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
5,679715,2011-8-3 08:04,2011-8-3 08:20,977,2,1,1,1,2,3,3,21,"POLO",2,3,2,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,3,2,1,3,3,3,2,3,3,3,1,4,2,3,5,5,3,3,4,5,5,1,0,0,0,0,0,2,3,0,0,1,0,0,0,0,3,20,19,22,2,5,1,3,48,"052560",5,1,1,"挺新鲜的~",5,,619,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
6,713389,2011-8-4 03:55,2011-8-4 04:06,651,3,1,1,1,1,2,1,1,"",2,10,1,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,1,3,1,1,1,3,1,3,1,1,1,2,4,2,5,5,4,5,3,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,20,21,8,2,19,1,4,49,"",4,1,1,"调查有关环保的车都比较贵，不实际",5,,424,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
7,731965,2011-8-2 03:05,2011-8-2 03:17,748,5,1,1,1,1,3,1,1,"",1,10,16,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,3,3,3,1,2,1,1,2,1,3,3,3,5,3,4,4,4,4,4,3,5,5,1,0,0,0,0,1,0,3,0,0,0,0,3,4,0,1,9,20,10,2,10,1,4,33,"518023",3,2,2,"满意",5,,210,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
8,774697,2011-8-2 02:43,2011-8-2 02:56,774,5,1,1,1,1,3,1,1,"",1,10,16,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,3,2,2,2,2,2,2,2,1,1,2,3,1,1,2,2,3,4,4,3,3,3,3,2,4,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,1,1,5,13,2,6,1,1,45,"518102",5,1,1,"并不是很了解电动的车",5,,747,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
9,781262,2011-8-4 04:07,2011-8-4 04:17,607,5,1,1,1,1,3,1,1,"",1,10,16,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,1,1,2,3,3,3,2,3,3,2,2,1,4,4,5,5,4,3,3,4,4,4,0,0,0,4,0,1,0,0,0,0,0,2,3,4,0,1,1,2,16,3,5,1,3,46,"",4,2,2,"",5,,196,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
10,818594,2011-8-2 02:31,2011-8-2 02:42,634,5,1,1,1,3,3,1,10,"思域",3,4,15,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,3,1,2,2,1,1,2,3,1,2,1,2,2,1,2,3,3,3,5,4,5,4,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,1,2,19,1,10,2,3,43,"518000",2,2,2,"很好",5,,870,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
