"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
1,512657,2011-8-4 02:40,2011-8-4 02:50,585,6,1,1,1,1,3,3,1,"",1,10,16,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,2,3,2,1,2,3,2,1,2,1,3,3,2,1,1,5,4,5,5,4,5,3,3,5,5,0,0,0,0,5,1,2,3,0,0,1,0,3,0,0,1,2,14,1,1,12,1,3,43,"",4,1,1,"",5,,481,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
2,649820,2011-8-2 08:51,2011-8-2 09:04,791,5,1,1,1,3,3,1,14,"323",3,8,10,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,2,2,1,1,3,1,3,1,1,3,1,2,1,2,3,3,5,5,5,5,5,5,4,4,1,0,3,4,0,0,2,3,0,0,0,0,0,4,0,1,1,22,7,5,14,1,4,27,"518020",2,3,4,"",5,,755,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
3,733444,2011-8-3 02:34,2011-8-3 02:54,1167,5,1,1,1,1,3,1,1,"",1,10,16,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,1,2,3,2,1,3,2,1,2,1,3,3,1,2,3,4,3,5,5,4,5,4,3,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,42,4,9,3,8,1,4,49,"414100",4,1,1,"",5,,20,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
4,744616,2011-8-3 03:46,2011-8-3 03:57,646,5,1,1,1,1,3,1,1,"",2,10,1,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,2,1,2,2,1,2,3,3,1,2,3,1,1,1,3,4,3,5,5,3,2,2,3,4,1,2,0,0,0,0,2,0,4,0,1,0,3,0,0,3,20,13,2,1,15,1,5,48,"435500",4,1,1,"良好",5,,757,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
5,768449,2011-8-4 03:37,2011-8-4 03:51,846,6,1,1,1,1,3,3,1,"",2,10,16,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,1,2,3,2,2,2,1,3,2,1,1,3,1,1,4,5,5,5,4,5,3,4,5,4,0,0,0,0,5,1,2,3,0,0,0,0,0,4,0,1,4,2,15,1,3,1,4,48,"422400",5,1,1,"",5,,536,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
6,1182868,2011-8-4 07:27,2011-8-4 07:40,797,5,1,1,1,1,3,1,1,"",1,10,16,3,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,2,3,3,3,1,2,2,1,3,1,3,2,3,3,3,3,3,3,5,5,5,5,2,5,4,3,1,2,3,4,0,0,0,3,0,0,1,2,0,4,0,1,66,3,2,5,19,2,8,44,"",8,7,6,"",5,,950,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
7,1199804,2011-8-2 08:21,2011-8-2 08:31,614,5,1,1,1,1,3,1,1,"",1,10,16,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,3,1,2,1,3,1,2,2,3,4,4,5,5,4,5,5,5,5,5,1,0,0,0,0,0,2,3,0,0,1,0,0,0,0,1,2,1,20,2,13,1,4,28,"518004",4,3,2,"题目设计符合现状，很不错",5,,815,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
8,1212189,2011-8-2 07:00,2011-8-2 07:10,634,5,1,1,1,1,3,1,1,"",2,10,16,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,2,3,2,2,1,3,1,2,3,3,3,1,2,1,1,4,3,5,5,4,3,3,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,7,5,8,1,5,1,4,49,"518000",5,1,1,"对比的品牌可以列举车型",5,,167,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
9,1319993,2011-8-3 03:05,2011-8-3 03:19,820,5,1,1,1,1,3,1,1,"",1,10,16,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,2,2,2,3,1,1,1,1,1,1,3,1,4,4,5,5,4,4,3,3,4,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,5,3,1,2,19,1,6,1,3,48,"518000",4,1,1,"",5,,197,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
10,1374726,2011-8-2 06:08,2011-8-2 06:23,917,5,1,1,1,3,3,1,10,"卡罗拉",2,6,15,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,1,1,3,3,1,2,3,1,3,3,1,1,2,2,1,3,1,5,5,5,2,3,4,5,3,1,2,0,0,0,0,2,3,0,0,0,0,0,0,5,3,4,14,1,5,18,1,7,49,"733000",5,1,1,"很喜欢，简洁明白",5,,72,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; Tablet PC 2.0; 360SE)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
