X.sys_SequentialRespondentNumber,compcode,workerid,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,user,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments
1,484088369,A3NZCFXM678RH3,9/14/12 23:21,9/14/12 23:33,742,13,4,3f2jk9,NA,NA,1,1,2,2,3,2,11,Sonata,4,5,10,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,3,1,1,1,1,2,2,3,1,1,3,4,4,4,5,3,4,4,3,4,4,1,2,0,0,0,1,2,3,0,0,2,1,3,5,1,1,0,3,4,0,0,0,0,0,1,1,1,1,5,12,1,7,52,2726,3,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1 Safari/534.50",Safari 534.50,Windows NT 6.1,66.30.132.57,1,
2,733620962,A31PTT6WS0YIU7,9/14/12 23:41,9/14/12 23:50,544,15,6,3f2jk9,NA,NA,1,1,3,2,1,3,6,Blazer,4,1,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,3,1,1,3,3,3,1,1,2,1,2,1,5,2,4,3,1,5,4,2,3,3,1,0,0,0,0,1,2,3,4,0,1,1,6,3,1,1,0,3,0,0,0,0,0,0,3,5,6,19,3,6,1,6,45,86314,3,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:13.0) Gecko/20120606 Firefox/13.0,Firefox 13.0,Win64,174.19.252.53,1,Fun survey and great pay!
3,657310577,A2ZH5LDUY5UFD4,9/14/12 22:48,9/14/12 22:57,537,11,2,3f2jk9,NA,NA,1,1,3,2,1,3,10,Accord,2,5,4,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,3,2,1,2,2,2,3,3,3,3,1,5,3,4,2,1,2,1,1,4,3,1,0,0,0,0,1,2,3,4,0,3,1,5,5,1,1,0,3,0,0,6,7,0,9,3,10,6,8,4,5,1,2,34,45245,2,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,72.241.5.31,1,thanks
4,228614413,A8BT5S7GPGGA,9/14/12 23:28,9/14/12 23:41,726,14,5,3f2jk9,NA,NA,1,1,3,3,3,6,10,Odyssey,3,9,9,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,3,3,2,3,1,1,1,1,2,1,2,3,5,4,4,4,1,3,2,3,4,5,1,0,0,0,0,1,2,3,4,0,3,7,3,4,7,1,0,3,0,0,6,0,0,0,3,19,23,21,1,11,1,5,25,90802,6,4,2,5,NA,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows XP,204.108.18.92,1,"Very interesting and thought-provoking.  I will actually look to see if there are quick charging stations in my city, and will continue to consider a hybrid or other environment-friendly vehicle for my next purchase. I am somewhat disappointed in my last vehicle purchase because I did not fully consider the operating costs (primarily fuel)."
5,285158097,A62RZY5BWOZZM,9/15/12 14:14,9/15/12 14:35,1259,28,19,3f2jk9,NA,NA,1,1,3,2,1,3,21,Corolla,2,8,6,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,3,2,2,3,3,3,1,1,1,2,3,2,5,4,5,5,2,5,5,4,5,5,1,0,0,0,0,0,2,0,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,3,21,10,6,1,5,1,1,40,33010,5,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,98.242.174.161,1,This was a very informative study. I learned a lot while taking part in it.
6,369414288,A1T453G4C9OPO5,9/17/12 8:29,9/17/12 8:39,600,492,119,3f2jk9,NA,NA,1,1,3,2,1,3,8,FREESTYLE,2,9,9,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,3,1,3,2,1,2,2,2,1,2,1,5,5,5,5,4,5,5,4,4,4,1,2,0,0,0,1,2,3,0,0,3,1,6,3,1,1,0,3,0,0,0,0,0,0,3,3,15,4,1,8,2,3,34,54729,5,3,5,5,NA,Mozilla/5.0 (Windows NT 6.0; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows Vista,97.90.233.127,1,"FUN SURVEY, THANKS!"
7,711380913,A33GBAC29A0MS5,9/17/12 12:18,9/17/12 12:26,534,514,131,3f2jk9,NA,NA,1,1,1,2,1,3,22,Jetta,2,4,2,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,3,3,3,2,3,2,1,2,3,1,3,1,5,2,4,3,1,2,2,2,5,4,1,0,0,0,0,1,2,3,4,0,1,1,3,2,1,0,0,3,0,0,0,0,0,0,3,22,3,2,3,6,1,1,44,10010,5,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,108.6.70.24,1,
8,317965768,A3CIWKPD7Y6NFG,9/17/12 2:32,9/17/12 2:38,362,410,57,3f2jk9,NA,NA,1,1,3,3,1,5,21,corolla,3,4,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,3,1,3,2,2,2,2,2,3,1,3,2,5,2,4,3,2,4,4,2,2,2,1,0,0,0,0,1,0,0,0,0,2,2,2,1,2,1,0,0,0,0,0,0,0,0,2,15,3,2,1,9,1,NA,49,30005,2,NA,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,71.204.116.93,1,
9,814326509,A3DOBHCZTACQKK,9/16/12 4:34,9/16/12 4:57,1385,378,35,3f2jk9,NA,NA,1,1,3,2,1,3,7,Dakota,4,8,8,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,1,3,3,1,1,1,2,3,2,3,2,2,4,3,4,4,1,4,4,2,3,2,1,2,3,0,0,1,2,3,4,0,3,1,6,6,5,1,0,3,0,5,0,0,0,0,2,7,2,8,4,9,1,2,44,53919,2,1,2,5,NA,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5",Safari 6533.18.5,iPod,208.69.109.110,1,
10,516252016,A2RASN7NYUURR3,9/17/12 3:04,9/17/12 3:15,622,419,66,3f2jk9,NA,NA,1,1,2,3,1,1,10,Element,2,1,1,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,3,3,3,1,2,1,2,3,2,2,3,1,5,4,5,5,1,4,3,4,5,5,1,2,0,0,0,1,2,3,4,0,1,1,1,1,3,0,0,0,0,5,0,0,0,0,3,10,21,11,5,4,2,2,37,85704,5,1,2,5,NA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Mac OS X 10.5,68.111.13.140,1,Thank you.
