"sys_SequentialRespondentNumber","compcode","workerid","sys_StartTime","sys_EndTime","sys_ElapsedTime","sys_InternalRespNum","sys_CBCVersion_CBC","user","mtwid","consent1_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","quota","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","parkingHomeGarage","parkingHomeStructure","parkingHomeDriveway","parkingHomeStreet","parkingHomeOther","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","slowchargingaccess_6","slowchargingaccess_7","slowchargingaccess_8","slowchargingaccess_9","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","sys_RespStatus","sys_DispositionCode","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript","comments"
1,"484088369","ABY1RK8H6HC8C",2012-9-17 15:48,2012-9-17 15:57,501,13,4,"3f2jk9","",1,1,1,2,2,3,2,10,"Pilot",2,3,4,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,3,1,3,1,2,2,2,2,2,1,1,1,2,2,5,5,5,,1,4,4,3,3,3,1,0,0,0,0,1,0,0,0,0,3,1,3,5,1,1,0,0,0,0,0,0,0,0,3,10,21,7,4,10,2,6,,"",3,5,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","74.139.122.179",1,""
2,"632189934","Travis Clarke",2012-9-17 19:02,2012-9-17 19:10,499,16,7,"3f2jk9","",1,1,1,2,4,1,1,24,"Dodge Ram 1500",2,5,4,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,2,1,2,2,1,1,3,3,2,2,1,1,3,3,5,3,3,3,4,4,4,3,2,4,1,2,0,0,0,1,2,0,4,0,3,6,3,6,6,0,2,0,0,0,0,7,0,9,1,2,3,6,4,7,1,2,46,"37076",5,1,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)","MSIE 8.0","Windows XP","208.185.48.23",1,""
3,"657310577","APSUBE301W0JO",2012-9-17 14:13,2012-9-17 14:26,769,11,2,"3f2jk9","",1,1,1,3,3,1,5,14,"MPV",4,3,6,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,3,2,1,3,3,1,2,2,3,3,1,4,4,5,4,2,2,2,3,5,5,1,2,0,0,0,1,2,3,4,0,6,6,6,6,7,1,0,3,0,0,0,0,0,0,2,21,19,14,5,11,1,6,32,"06250",3,3,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","108.247.169.160",1,""
4,"435667379","A3EYWJCIO1MG9W",2012-9-17 15:40,2012-9-17 15:50,578,12,3,"3f2jk9","",1,1,1,3,2,1,3,6,"Blazer",4,4,4,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,1,3,3,1,3,1,3,2,3,1,3,3,5,3,4,3,2,4,3,2,4,4,1,2,0,0,0,1,2,0,0,0,3,6,3,4,1,1,0,0,0,0,0,0,0,0,3,21,6,7,5,7,1,5,47,"80031",3,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","75.166.202.9",1,""
5,"228614413","A3Q9PT0RP133GV",2012-9-17 16:21,2012-9-17 16:32,629,14,5,"3f2jk9","",1,1,1,2,3,3,2,17,"Murano",2,6,10,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,3,1,1,1,1,1,3,3,3,1,3,2,3,2,2,4,3,3,4,3,3,2,3,4,3,1,0,0,0,0,0,2,3,4,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,3,17,21,3,5,10,2,2,46,"21209",3,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","98.233.229.125",1,"thanks for the survey"
6,"733620962","A8LEPWQTNYZ2Y",2012-9-17 17:34,2012-9-17 18:01,1641,15,6,"3f2jk9","",1,1,1,3,3,1,5,7,"Dodge Avenger",2,3,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,3,1,1,3,2,3,3,2,2,2,3,3,1,3,3,5,4,4,5,1,4,4,1,1,2,1,0,0,0,0,1,2,3,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,3,5,8,6,3,6,1,3,44,"37042",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows Vista) AppleWebKit/537.1 (KHTML, like Gecko","24.159.54.227",1,""
7,"169952979","A2VX8B1CJXRN2",2012-9-17 21:12,2012-9-17 21:28,962,20,11,"3f2jk9","",1,1,1,3,2,1,3,8,"Freestyle",3,4,2,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,3,2,1,1,2,3,2,1,3,2,2,1,3,2,5,4,5,5,3,5,4,3,5,5,1,0,0,0,0,1,2,3,4,0,1,1,4,3,1,0,0,3,0,0,0,0,0,0,3,8,6,21,4,9,2,4,23,"02053",4,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","173.48.101.100",1,""
8,"629584704","A31V3MMKUWZOP1",2012-9-18 02:23,2012-9-18 02:32,545,24,15,"3f2jk9","",1,1,1,3,3,1,5,6,"Suburbn",3,9,6,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,3,1,1,2,3,3,1,1,2,2,1,4,4,5,4,4,5,4,2,2,4,1,2,0,0,0,1,2,3,0,0,4,7,4,5,7,1,0,0,0,0,0,0,0,0,3,9,7,3,5,10,1,4,38,"78681",5,3,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.82 Safari/537.1","Chrome 21.0.1180.82","Macintosh","72.182.2.156",1,""
9,"748918542","AVAQ3OJDLSTLQ",2012-9-17 22:52,2012-9-17 23:05,783,22,13,"3f2jk9","",1,1,1,3,3,3,6,24,"Dodge Grand Caravan",3,3,3,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,3,2,1,2,1,2,2,2,1,2,3,3,3,3,1,5,4,5,5,2,4,3,2,4,4,1,0,0,0,0,1,2,3,0,0,4,3,4,1,1,1,0,0,0,0,0,0,0,0,3,10,21,17,4,7,2,5,34,"85249",5,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","68.2.28.151",1,"Thank you for allowing me to participate."
10,"924234541","A2JIMXT1XX2EO2",2012-9-17 20:26,2012-9-17 20:39,759,18,9,"3f2jk9","",1,1,1,2,3,1,1,21,"RAV4",3,2,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,1,3,3,1,1,2,3,2,2,1,5,4,5,5,3,3,1,4,5,5,0,2,0,0,0,1,2,3,0,0,1,1,3,5,1,0,0,3,0,0,0,0,8,9,3,21,10,14,3,5,2,3,41,"97213",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1","Chrome 21.0.1180.89","Windows NT 6.1","70.57.115.70",1,""
