sys_SequentialRespondentNumber,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments,enthusiast
1,2/15/13 23:47,2/15/13 23:58,699,491867,620,,1,1,1,3,3,1,5,11,Civic EX coupe,4,5,6,1,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,1,2,3,3,2,1,1,1,3,2,3,1,4,2,4,5,1,5,5,1,2,3,1,2,0,0,0,1,0,0,0,0,3,7,6,4,6,1,0,0,0,0,0,0,0,0,3,4,3,14,5,12,1,3,45,43952,6,1,1,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,"It was not as visually exciting as I had hoped, but it's an effective way to gather information.",1
2,2/15/13 22:54,2/15/13 23:08,835,1242370,227,,1,1,1,3,3,1,5,22,4runner,2,8,6,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,3,1,3,1,1,2,1,2,1,3,2,2,2,1,2,3,4,4,5,4,3,4,4,3,4,3,1,0,0,0,0,1,2,3,0,0,2,7,4,2,2,1,0,3,0,0,0,0,0,0,3,22,18,12,3,11,1,1,14,15239,6,1,1,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,1
3,2/16/13 20:32,2/16/13 20:38,323,635491,259,,1,1,1,3,3,1,5,7,Impala,2,8,7,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3,2,1,2,1,2,2,2,3,1,2,2,1,2,3,3,5,3,5,5,1,4,5,3,3,3,1,0,3,4,0,1,2,3,0,0,1,1,4,1,1,0,0,3,0,0,0,0,0,0,2,7,9,22,4,12,1,3,41,15825,2,1,1,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,1
4,2/16/13 20:08,2/16/13 20:20,735,636107,705,,1,1,1,2,3,3,2,20,Legacy Outback Sedan,4,9,2,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,3,3,3,2,3,3,1,3,3,2,1,3,3,2,2,1,4,4,5,,4,5,4,3,3,3,1,0,0,0,0,1,2,0,0,0,3,1,3,1,1,1,0,0,0,0,0,0,0,0,2,20,16,12,4,9,2,2,13,,3,1,3,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,1
5,2/16/13 19:49,2/16/13 20:06,1042,825946,626,,1,1,1,3,3,3,6,7,Cavalier,3,7,3,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,3,3,3,1,3,1,3,3,2,3,5,2,5,4,1,3,3,3,5,4,1,2,0,0,0,1,2,3,4,0,1,1,2,2,1,0,0,3,0,0,0,0,0,0,3,11,22,1,4,3,2,2,48,15217,5,1,1,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,2
6,2/16/13 15:51,2/16/13 16:08,1045,1024502,279,,1,1,1,3,3,1,5,11,accord,4,4,5,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,3,1,2,2,1,2,3,3,3,1,1,3,1,2,2,3,4,4,5,5,2,4,2,4,4,4,1,2,0,4,0,0,2,3,4,0,3,1,3,1,1,1,0,0,0,0,0,0,0,0,1,11,4,24,1,11,1,3,16,15108,6,2,2,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,interesting survey; good luck,2
7,2/16/13 16:53,2/16/13 17:04,669,1087086,502,,1,1,1,3,3,3,6,22,matrix,3,2,3,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,2,2,1,3,1,2,2,1,2,2,5,4,5,4,1,4,2,3,4,4,1,2,0,0,0,1,2,0,4,0,3,1,1,3,1,1,0,0,0,0,0,0,0,0,3,11,22,7,4,9,2,3,22,15218,6,2,2,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,Cost is the biggest issue when making a purchase. I don't like to take on additional monthly payments if possible.,2
8,2/16/13 19:17,2/16/13 19:31,805,1133927,231,,1,1,1,3,2,3,4,22,corolla s,4,5,2,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,1,2,3,2,3,3,1,1,2,2,2,1,4,3,5,5,3,4,3,3,3,2,0,0,0,0,5,0,0,3,4,0,2,7,3,3,6,1,0,3,0,0,0,0,0,0,3,7,9,4,2,11,2,2,42,15226,4,1,3,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,3
9,2/16/13 19:34,2/16/13 19:48,846,1191898,655,,1,1,1,3,2,3,4,3,TT,3,4,3,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,3,1,1,3,2,3,2,3,2,1,3,3,2,2,4,2,4,2,1,5,4,1,1,2,1,0,0,0,0,1,2,3,0,0,1,1,4,1,1,0,0,3,0,0,0,0,0,0,2,3,4,20,3,8,1,2,38,26505,6,1,2,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,1
10,2/16/13 22:12,2/16/13 22:22,629,1277437,785,,1,1,1,3,2,1,3,5,Lacrosse,3,6,9,3,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,3,1,2,1,1,1,1,2,3,1,1,3,3,1,3,1,3,3,4,3,3,4,4,3,3,3,1,2,0,0,0,1,2,3,4,0,4,1,6,3,1,1,0,3,0,0,0,0,0,0,,5,9,7,5,11,1,3,33,15010,5,2,2,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,2
11,2/16/13 21:13,2/16/13 21:23,605,1283423,814,,1,1,1,3,2,1,3,11,Accord,2,6,8,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,3,2,3,2,1,2,3,1,3,1,1,1,1,3,2,2,5,3,5,4,1,4,2,3,2,2,1,0,0,0,0,1,2,3,4,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,3,11,3,4,4,9,1,1,39,,5,1,1,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,2
13,2/16/13 16:21,2/16/13 16:35,855,1300871,42,,1,1,1,3,2,3,4,15,cx 9,3,8,6,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,2,3,3,3,1,2,3,1,2,2,2,3,2,2,4,4,5,5,3,3,3,3,3,3,1,0,0,0,0,1,2,0,0,0,3,1,3,3,3,1,0,0,0,0,0,0,0,0,2,18,15,11,5,11,2,4,24,15135,5,3,2,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,,1
14,2/16/13 18:48,2/16/13 19:07,1101,1554934,107,,1,1,1,3,2,1,3,8,neon,3,8,6,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,2,3,2,1,1,1,3,3,2,2,3,2,2,2,2,5,3,3,3,1,3,1,1,1,1,1,0,0,0,0,1,2,3,4,0,3,1,6,6,6,1,0,0,0,0,0,0,0,0,3,4,23,3,3,10,1,5,18,15215,6,3,2,5,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,"Build that which solves the real problem, don't be swayed by popular ""causes"".",1
