ZIPA,ZIPN,RUCA2.0,COMMFLAG,STNAME
00001,1.00,10.00,0.00,Alaska
00002,2.00,10.00,0.00,Alaska
00003,3.00,10.00,0.00,Alaska
00004,4.00,10.00,0.00,Alaska
00005,5.00,10.00,0.00,Alaska
00006,6.00,10.00,0.00,Alaska
00007,7.00,10.00,0.00,Alaska
00009,9.00,10.00,0.00,Alaska
00010,10.00,10.00,0.00,Alaska
00011,11.00,10.00,0.00,Alaska
00012,12.00,10.60,0.00,California
00014,14.00,2.00,0.00,Arizona
00015,15.00,1.00,0.00,Arizona
00016,16.00,7.30,0.00,California
00017,17.00,2.00,0.00,California
00018,18.00,3.00,0.00,California
00019,19.00,10.00,0.00,California
00020,20.00,7.00,0.00,California
00022,22.00,8.00,0.00,California
00026,26.00,2.00,0.00,California
00027,27.00,2.00,0.00,Colorado
00028,28.00,10.00,0.00,California
00029,29.00,10.40,0.00,California
00031,31.00,10.00,0.00,California
00032,32.00,1.00,0.00,California
00033,33.00,10.40,0.00,California
00034,34.00,10.00,0.00,California
00035,35.00,10.60,0.00,California
00037,37.00,5.00,0.00,California
00038,38.00,5.00,0.00,California
00039,39.00,10.00,0.00,California
00040,40.00,10.50,0.00,California
00041,41.00,1.00,0.00,Florida
00042,42.00,1.00,0.00,Florida
00043,43.00,1.00,0.00,Florida
00044,44.00,10.50,0.00,California
00045,45.00,2.10,0.00,Florida
00047,47.00,10.60,0.00,California
00048,48.00,10.50,0.00,California
00049,49.00,5.00,0.00,California
00050,50.00,10.50,0.00,California
00051,51.00,2.00,0.00,California
00052,52.00,2.00,0.00,California
00053,53.00,1.00,0.00,Florida
00054,54.00,10.50,0.00,California
00055,55.00,10.00,0.00,California
00056,56.00,2.00,0.00,Idaho
00057,57.00,1.00,0.00,California
00058,58.00,10.00,0.00,California
00059,59.00,10.50,0.00,Minnesota
00060,60.00,10.50,0.00,Minnesota
00061,61.00,1.00,0.00,California
00063,63.00,2.00,0.00,Montana
00064,64.00,10.40,0.00,New Mexico
00065,65.00,10.40,0.00,California
00066,66.00,1.00,0.00,New Mexico
00067,67.00,1.00,0.00,Oklahoma
00068,68.00,7.00,0.00,Oregon
00069,69.00,2.00,0.00,Oregon
00070,70.00,2.00,0.00,Oregon
00071,71.00,2.10,0.00,Utah
00072,72.00,2.00,0.00,Washington
00073,73.00,2.00,0.00,Washington
00074,74.00,10.40,0.00,Washington
00076,76.00,10.00,0.00,Washington
00077,77.00,10.50,0.00,Oregon
00084,84.00,2.00,0.00,North Carolina
00087,87.00,2.00,0.00,Florida
00097,97.00,2.00,0.00,Florida
00098,98.00,2.00,0.00,Florida
00100,100.00,1.00,0.00,Utah
00116,116.00,10.00,0.00,Louisiana
00119,119.00,10.00,0.00,Louisiana
00120,120.00,10.00,0.00,Louisiana
00121,121.00,2.00,0.00,Louisiana
00122,122.00,2.00,0.00,Louisiana
00125,125.00,10.00,0.00,Maine
00126,126.00,10.00,0.00,Maine
00127,127.00,10.00,0.00,Maine
00128,128.00,10.00,0.00,Maine
00130,130.00,9.00,0.00,Maine
00132,132.00,10.00,0.00,Maine
00133,133.00,10.00,0.00,Maine
00134,134.00,10.60,0.00,Maine
00135,135.00,10.00,0.00,Maine
00137,137.00,8.00,0.00,Maine
00138,138.00,8.00,0.00,Maine
00139,139.00,10.00,0.00,Maine
00140,140.00,10.00,0.00,Maine
00141,141.00,2.00,0.00,Maine
00145,145.00,10.00,0.00,Maine
00147,147.00,10.00,0.00,Maine
00148,148.00,9.00,0.00,Maine
00151,151.00,10.60,0.00,Maine
00152,152.00,4.20,0.00,Maryland
00157,157.00,1.00,0.00,Massachusetts
00158,158.00,1.00,0.00,Massachusetts
00160,160.00,10.00,0.00,Minnesota
00161,161.00,8.30,0.00,Minnesota
00164,164.00,10.00,0.00,Minnesota
00165,165.00,10.00,0.00,Minnesota
00166,166.00,10.00,0.00,Minnesota
00168,168.00,4.00,0.00,New Hampshire
00172,172.00,10.50,0.00,New Hampshire
00173,173.00,10.50,0.00,New Hampshire
00174,174.00,10.50,0.00,New Hampshire
00176,176.00,10.50,0.00,New Hampshire
00177,177.00,4.00,0.00,New Hampshire
00179,179.00,10.50,0.00,New Hampshire
00180,180.00,10.50,0.00,New Hampshire
00181,181.00,10.50,0.00,New Hampshire
00182,182.00,10.50,0.00,New Hampshire
00183,183.00,4.00,0.00,New Hampshire
00184,184.00,4.00,0.00,New Hampshire
00185,185.00,10.00,0.00,New Hampshire
00188,188.00,5.00,0.00,Texas
00195,195.00,10.60,0.00,Washington
00197,197.00,2.00,0.00,Arizona
00198,198.00,2.00,0.00,Alaska
00199,199.00,2.00,0.00,Arizona
00501,501.00,1.00,1.00,New York
00544,544.00,1.00,1.00,New York
01001,1001.00,1.00,0.00,Massachusetts
01002,1002.00,4.10,0.00,Massachusetts
01003,1003.00,4.10,0.00,Massachusetts
01004,1004.00,4.10,1.00,Massachusetts
01005,1005.00,2.00,0.00,Massachusetts
01007,1007.00,4.10,0.00,Massachusetts
01008,1008.00,2.00,0.00,Massachusetts
01009,1009.00,1.00,1.00,Massachusetts
01010,1010.00,2.10,0.00,Massachusetts
01011,1011.00,2.00,0.00,Massachusetts
01012,1012.00,2.00,0.00,Massachusetts
01013,1013.00,1.00,0.00,Massachusetts
01014,1014.00,1.00,1.00,Massachusetts
01020,1020.00,1.00,0.00,Massachusetts
01021,1021.00,1.00,1.00,Massachusetts
01022,1022.00,1.00,0.00,Massachusetts
01026,1026.00,2.00,0.00,Massachusetts
01027,1027.00,1.00,0.00,Massachusetts
01028,1028.00,1.00,0.00,Massachusetts
01029,1029.00,10.40,1.00,Massachusetts
01030,1030.00,1.00,0.00,Massachusetts
01031,1031.00,2.10,0.00,Massachusetts
01032,1032.00,2.00,0.00,Massachusetts
01033,1033.00,1.00,0.00,Massachusetts
01034,1034.00,2.00,0.00,Massachusetts
01035,1035.00,1.00,0.00,Massachusetts
01036,1036.00,1.00,0.00,Massachusetts
01037,1037.00,2.00,1.00,Massachusetts
01038,1038.00,1.00,0.00,Massachusetts
01039,1039.00,2.00,0.00,Massachusetts
01040,1040.00,1.00,0.00,Massachusetts
01041,1041.00,1.00,1.00,Massachusetts
01050,1050.00,2.00,0.00,Massachusetts
01053,1053.00,1.00,0.00,Massachusetts
01054,1054.00,6.10,0.00,Massachusetts
01056,1056.00,1.00,0.00,Massachusetts
01057,1057.00,2.00,0.00,Massachusetts
01059,1059.00,4.10,1.00,Massachusetts
01060,1060.00,1.00,0.00,Massachusetts
01061,1061.00,1.00,1.00,Massachusetts
01062,1062.00,1.00,0.00,Massachusetts
01063,1063.00,1.00,0.00,Massachusetts
01066,1066.00,1.00,1.00,Massachusetts
01068,1068.00,1.00,0.00,Massachusetts
01069,1069.00,1.00,0.00,Massachusetts
01070,1070.00,2.00,0.00,Massachusetts
01071,1071.00,2.00,0.00,Massachusetts
01072,1072.00,6.10,0.00,Massachusetts
01073,1073.00,2.00,0.00,Massachusetts
01074,1074.00,2.00,1.00,Massachusetts
01075,1075.00,1.00,0.00,Massachusetts
01077,1077.00,1.00,0.00,Massachusetts
01079,1079.00,1.00,1.00,Massachusetts
01080,1080.00,1.00,0.00,Massachusetts
01081,1081.00,2.10,0.00,Massachusetts
01082,1082.00,2.00,0.00,Massachusetts
01083,1083.00,2.00,1.00,Massachusetts
01084,1084.00,2.00,0.00,Massachusetts
01085,1085.00,1.00,0.00,Massachusetts
01086,1086.00,1.00,1.00,Massachusetts
01088,1088.00,1.00,0.00,Massachusetts
01089,1089.00,1.00,0.00,Massachusetts
01090,1090.00,1.00,1.00,Massachusetts
01092,1092.00,2.00,0.00,Massachusetts
01093,1093.00,3.00,1.00,Massachusetts
01094,1094.00,2.10,1.00,Massachusetts
01095,1095.00,1.00,0.00,Massachusetts
01096,1096.00,2.00,0.00,Massachusetts
01097,1097.00,1.00,1.00,Massachusetts
01098,1098.00,2.00,0.00,Massachusetts
01101,1101.00,1.00,1.00,Massachusetts
01102,1102.00,1.00,1.00,Massachusetts
01103,1103.00,1.00,0.00,Massachusetts
01104,1104.00,1.00,0.00,Massachusetts
01105,1105.00,1.00,0.00,Massachusetts
01106,1106.00,1.00,0.00,Massachusetts
01107,1107.00,1.00,0.00,Massachusetts
01108,1108.00,1.00,0.00,Massachusetts
01109,1109.00,1.00,0.00,Massachusetts
01111,1111.00,1.00,1.00,Massachusetts
01114,1114.00,1.00,1.00,Massachusetts
01115,1115.00,1.00,1.00,Massachusetts
01116,1116.00,1.00,1.00,Massachusetts
01118,1118.00,1.00,0.00,Massachusetts
01119,1119.00,1.00,0.00,Massachusetts
01128,1128.00,1.00,0.00,Massachusetts
01129,1129.00,1.00,0.00,Massachusetts
01133,1133.00,1.00,1.00,Massachusetts
01138,1138.00,1.00,1.00,Massachusetts
01139,1139.00,1.00,1.00,Massachusetts
01144,1144.00,1.00,1.00,Massachusetts
01151,1151.00,1.00,0.00,Massachusetts
01152,1152.00,1.00,1.00,Massachusetts
01199,1199.00,1.00,1.00,Massachusetts
01201,1201.00,1.00,0.00,Massachusetts
01202,1202.00,1.00,1.00,Massachusetts
01203,1203.00,1.00,1.00,Massachusetts
01220,1220.00,4.20,0.00,Massachusetts
01222,1222.00,10.60,0.00,Massachusetts
01223,1223.00,2.00,0.00,Massachusetts
01224,1224.00,1.00,0.00,Massachusetts
01225,1225.00,2.00,0.00,Massachusetts
01226,1226.00,1.00,0.00,Massachusetts
01227,1227.00,1.00,1.00,Massachusetts
01229,1229.00,3.00,1.00,Massachusetts
01230,1230.00,7.30,0.00,Massachusetts
01235,1235.00,2.00,0.00,Massachusetts
01236,1236.00,7.30,0.00,Massachusetts
01237,1237.00,1.00,0.00,Massachusetts
01238,1238.00,7.30,0.00,Massachusetts
01240,1240.00,7.30,0.00,Massachusetts
01242,1242.00,7.30,1.00,Massachusetts
01243,1243.00,2.00,0.00,Massachusetts
01244,1244.00,7.30,1.00,Massachusetts
01245,1245.00,10.60,0.00,Massachusetts
01247,1247.00,4.20,0.00,Massachusetts
01252,1252.00,7.30,1.00,Massachusetts
01253,1253.00,10.40,0.00,Massachusetts
01254,1254.00,2.00,0.00,Massachusetts
01255,1255.00,10.40,0.00,Massachusetts
01256,1256.00,5.20,0.00,Massachusetts
01257,1257.00,10.60,0.00,Massachusetts
01258,1258.00,9.00,0.00,Massachusetts
01259,1259.00,9.00,0.00,Massachusetts
01260,1260.00,7.30,1.00,Massachusetts
01262,1262.00,9.00,0.00,Massachusetts
01263,1263.00,9.00,1.00,Massachusetts
01264,1264.00,7.30,1.00,Massachusetts
01266,1266.00,3.00,0.00,Massachusetts
01267,1267.00,4.20,0.00,Massachusetts
01270,1270.00,2.00,0.00,Massachusetts
01301,1301.00,4.20,0.00,Massachusetts
01302,1302.00,4.20,1.00,Massachusetts
01330,1330.00,10.50,0.00,Massachusetts
01331,1331.00,4.20,0.00,Massachusetts
01337,1337.00,5.00,0.00,Massachusetts
01338,1338.00,10.50,0.00,Massachusetts
01339,1339.00,6.00,0.00,Massachusetts
01340,1340.00,6.00,0.00,Massachusetts
01341,1341.00,10.50,0.00,Massachusetts
01342,1342.00,3.00,0.00,Massachusetts
01343,1343.00,5.20,0.00,Massachusetts
01344,1344.00,6.00,0.00,Massachusetts
01346,1346.00,6.00,0.00,Massachusetts
01347,1347.00,4.20,1.00,Massachusetts
01349,1349.00,4.20,0.00,Massachusetts
01350,1350.00,6.00,0.00,Massachusetts
01351,1351.00,4.20,0.00,Massachusetts
01354,1354.00,5.00,0.00,Massachusetts
01355,1355.00,6.10,0.00,Massachusetts
01360,1360.00,5.00,0.00,Massachusetts
01364,1364.00,4.20,0.00,Massachusetts
01366,1366.00,3.00,0.00,Massachusetts
01367,1367.00,6.00,0.00,Massachusetts
01368,1368.00,2.10,0.00,Massachusetts
01370,1370.00,10.50,0.00,Massachusetts
01373,1373.00,3.00,0.00,Massachusetts
01375,1375.00,4.10,0.00,Massachusetts
01376,1376.00,4.20,0.00,Massachusetts
01378,1378.00,6.00,0.00,Massachusetts
01379,1379.00,6.00,0.00,Massachusetts
01380,1380.00,6.00,1.00,Massachusetts
01420,1420.00,1.00,0.00,Massachusetts
01430,1430.00,2.10,0.00,Massachusetts
01431,1431.00,2.10,0.00,Massachusetts
01432,1432.00,1.00,0.00,Massachusetts
01434,1434.00,1.00,0.00,Massachusetts
01436,1436.00,1.00,0.00,Massachusetts
01438,1438.00,1.00,1.00,Massachusetts
01440,1440.00,1.00,0.00,Massachusetts
01441,1441.00,1.00,1.00,Massachusetts
01450,1450.00,1.00,0.00,Massachusetts
01451,1451.00,2.00,0.00,Massachusetts
01452,1452.00,2.10,0.00,Massachusetts
01453,1453.00,1.00,0.00,Massachusetts
01460,1460.00,1.00,0.00,Massachusetts
01462,1462.00,1.00,0.00,Massachusetts
01463,1463.00,2.00,0.00,Massachusetts
01464,1464.00,1.00,0.00,Massachusetts
01467,1467.00,2.00,1.00,Massachusetts
01468,1468.00,1.00,0.00,Massachusetts
01469,1469.00,1.00,0.00,Massachusetts
