RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,CBCFIX1,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,enthusiast,SUVbuyer,shanghai,shenzhen,chengdu,usa,mturk
1,7/27/11 2:30,7/27/11 2:46,956,782451,795,1,2,1,3,NA,NA,1,10,16,1,8,NA,NA,2,3,3,4,5,2,4,4,3,4,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,2,1,5,19,2,8,54,NA,5,7,6,0,0,0,0,0,0,0
2,7/27/11 5:00,7/27/11 5:10,610,1191874,641,2,3,1,1,31,QQ,NA,8,14,3,NA,NA,6,2,4,2,5,5,4,5,4,3,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,10,5,NA,3,1,3,NA,NA,5,1,1,0,0,0,0,0,0,0
3,7/27/11 5:54,7/27/11 6:06,700,621527,28,3,2,1,3,15,C200,2,5,7,2,NA,1,NA,2,3,3,5,5,4,4,5,5,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,14,20,2,19,1,3,54,10029,3,7,6,0,0,0,0,0,0,0
4,7/27/11 6:30,7/27/11 6:42,674,1433749,998,2,3,1,1,31,QQ,2,5,10,2,NA,7,NA,2,4,4,5,5,2,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,13,11,1,4,1,5,NA,NA,5,7,6,0,0,0,0,0,0,0
5,7/29/11 2:52,7/29/11 3:04,743,1650830,639,1,2,1,3,NA,NA,1,10,16,1,6,NA,NA,2,1,2,5,5,3,3,2,3,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,19,13,5,19,1,8,38,NA,3,3,2,0,0,0,0,0,0,0
6,7/29/11 3:23,7/29/11 3:34,642,1480780,867,2,2,1,1,3,325i,3,7,6,3,NA,NA,6,2,5,4,5,5,4,3,3,2,3,2,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,21,14,3,7,1,4,NA,NA,6,2,4,0,0,0,0,0,0,0
7,7/29/11 5:51,7/29/11 6:02,650,1053346,641,1,3,1,5,NA,NA,1,10,16,2,NA,3,NA,2,4,5,5,5,1,4,3,5,5,5,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,22,20,19,3,1,1,5,26,NA,8,3,2,0,0,0,0,0,0,0
8,7/29/11 6:23,7/29/11 6:34,627,781949,433,1,2,1,3,1,NA,1,10,16,2,NA,7,NA,2,4,4,5,5,4,4,3,3,4,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,10,12,33,2,13,1,2,47,NA,5,1,2,0,0,0,0,0,0,0
9,7/29/11 6:43,7/29/11 6:55,711,1187565,310,1,2,1,3,1,NA,1,10,16,2,NA,1,NA,2,3,3,4,5,4,4,3,4,4,4,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,10,14,1,19,1,3,43,NA,5,2,2,0,0,0,0,0,0,0
10,7/29/11 7:18,7/29/11 7:32,854,1343465,481,2,2,1,1,1,NA,1,10,16,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
