RespNum,Answer,CodedAns,Task,Concept,Type,Price,Brand,Fast Charge,Efficiency,Acceleration,SUVbuyer,shanghai,shenzhen,chengdu
1,1,1,1,1,6,3,5,1,4,2,0,0,0,0
1,1,0,1,2,3,1,3,2,2,1,0,0,0,0
1,1,0,1,3,3,1,3,2,4,4,0,0,0,0
1,3,0,2,1,4,2,2,2,1,3,0,0,0,0
1,3,0,2,2,3,1,1,2,4,3,0,0,0,0
1,3,1,2,3,3,2,4,1,2,3,0,0,0,0
1,1,1,3,1,1,4,3,1,1,2,0,0,0,0
1,1,0,3,2,6,1,4,2,1,3,0,0,0,0
1,1,0,3,3,3,3,4,1,1,2,0,0,0,0
1,1,1,4,1,4,1,1,2,1,2,0,0,0,0
1,1,0,4,2,8,4,4,1,2,3,0,0,0,0
1,1,0,4,3,7,2,4,2,2,1,0,0,0,0
1,1,1,5,1,8,3,3,2,2,3,0,0,0,0
1,1,0,5,2,2,1,3,2,4,3,0,0,0,0
1,1,0,5,3,6,4,5,1,1,4,0,0,0,0
1,1,1,6,1,2,5,1,2,3,2,0,0,0,0
1,1,0,6,2,3,2,1,1,3,4,0,0,0,0
1,1,0,6,3,7,4,5,2,1,1,0,0,0,0
1,2,0,7,1,5,2,2,1,4,3,0,0,0,0
1,2,1,7,2,2,2,3,2,1,4,0,0,0,0
1,2,0,7,3,6,1,2,1,4,1,0,0,0,0
1,3,0,8,1,4,4,3,2,3,2,0,0,0,0
1,3,0,8,2,5,4,2,2,1,2,0,0,0,0
1,3,1,8,3,4,1,1,2,2,2,0,0,0,0
1,2,0,9,1,5,5,1,2,2,2,0,0,0,0
1,2,1,9,2,4,1,3,1,2,3,0,0,0,0
1,2,0,9,3,7,4,2,1,2,3,0,0,0,0
1,3,0,10,1,4,4,4,2,3,4,0,0,0,0
1,3,0,10,2,6,1,5,1,3,3,0,0,0,0
1,3,1,10,3,2,2,2,2,4,1,0,0,0,0
1,2,0,11,1,7,2,1,1,3,3,0,0,0,0
1,2,1,11,2,2,5,4,2,2,2,0,0,0,0
1,2,0,11,3,5,2,1,1,4,1,0,0,0,0
1,1,1,12,1,3,1,3,2,4,4,0,0,0,0
1,1,0,12,2,8,5,4,2,3,3,0,0,0,0
1,1,0,12,3,4,1,4,2,1,4,0,0,0,0
1,1,1,13,1,3,1,4,1,2,2,0,0,0,0
1,1,0,13,2,4,5,5,1,2,4,0,0,0,0
1,1,0,13,3,1,2,4,1,3,1,0,0,0,0
1,1,1,14,1,4,2,3,2,1,4,0,0,0,0
1,1,0,14,2,5,2,2,2,3,4,0,0,0,0
1,1,0,14,3,3,4,5,1,3,3,0,0,0,0
1,2,0,15,1,3,5,5,2,1,4,0,0,0,0
1,2,1,15,2,4,5,2,2,2,1,0,0,0,0
1,2,0,15,3,7,2,2,1,1,2,0,0,0,0
2,3,0,1,1,3,1,3,1,1,2,0,0,0,0
2,3,0,1,2,3,3,4,2,4,2,0,0,0,0
2,3,1,1,3,7,1,5,2,1,4,0,0,0,0
2,3,0,2,1,7,4,2,2,3,2,0,0,0,0
2,3,0,2,2,1,4,1,1,4,3,0,0,0,0
2,3,1,2,3,8,3,4,2,3,3,0,0,0,0
2,1,1,3,1,7,3,1,1,1,4,0,0,0,0
2,1,0,3,2,6,1,2,1,1,4,0,0,0,0
2,1,0,3,3,4,5,5,1,2,2,0,0,0,0
2,2,0,4,1,1,4,4,2,4,4,0,0,0,0
2,2,1,4,2,7,2,5,1,4,3,0,0,0,0
2,2,0,4,3,2,5,4,1,4,2,0,0,0,0
2,1,1,5,1,1,3,4,1,2,1,0,0,0,0
2,1,0,5,2,6,3,2,1,3,2,0,0,0,0
2,1,0,5,3,2,2,4,1,3,4,0,0,0,0
2,1,1,6,1,4,4,4,2,4,3,0,0,0,0
2,1,0,6,2,1,5,1,1,4,2,0,0,0,0
2,1,0,6,3,6,1,1,2,4,4,0,0,0,0
2,2,0,7,1,6,4,5,1,2,2,0,0,0,0
2,2,1,7,2,5,3,1,2,2,4,0,0,0,0
2,2,0,7,3,6,4,2,2,2,4,0,0,0,0
2,3,0,8,1,3,1,5,1,3,2,0,0,0,0
2,3,0,8,2,8,1,3,2,1,2,0,0,0,0
2,3,1,8,3,6,4,5,1,1,4,0,0,0,0
2,3,0,9,1,4,5,3,1,3,1,0,0,0,0
2,3,0,9,2,5,3,3,2,1,2,0,0,0,0
2,3,1,9,3,8,2,1,2,4,1,0,0,0,0
2,3,0,10,1,5,3,4,1,1,3,0,0,0,0
2,3,0,10,2,2,1,1,1,4,2,0,0,0,0
2,3,1,10,3,7,1,4,2,1,4,0,0,0,0
2,1,1,11,1,2,3,4,2,1,2,0,0,0,0
2,1,0,11,2,7,1,2,2,1,4,0,0,0,0
2,1,0,11,3,5,2,4,2,3,3,0,0,0,0
2,1,1,12,1,7,3,5,2,4,3,0,0,0,0
2,1,0,12,2,4,5,2,1,2,2,0,0,0,0
2,1,0,12,3,6,5,2,2,1,1,0,0,0,0
2,1,1,13,1,7,2,4,2,4,2,0,0,0,0
2,1,0,13,2,6,3,3,2,1,3,0,0,0,0
2,1,0,13,3,7,1,1,1,1,3,0,0,0,0
2,2,0,14,1,1,4,5,1,4,4,0,0,0,0
2,2,1,14,2,4,5,5,1,3,2,0,0,0,0
2,2,0,14,3,7,5,3,2,1,3,0,0,0,0
2,3,0,15,1,5,1,2,2,3,2,0,0,0,0
2,3,0,15,2,6,1,4,1,3,1,0,0,0,0
2,3,1,15,3,7,1,4,1,4,4,0,0,0,0
3,2,0,1,1,5,3,2,1,1,3,0,0,0,0
3,2,1,1,2,3,4,1,1,4,2,0,0,0,0
3,2,0,1,3,4,4,2,1,4,4,0,0,0,0
3,1,1,2,1,5,1,1,1,4,1,0,0,0,0
3,1,0,2,2,8,4,4,2,1,1,0,0,0,0
3,1,0,2,3,6,3,5,1,1,2,0,0,0,0
3,2,0,3,1,1,3,2,2,3,4,0,0,0,0
3,2,1,3,2,2,4,1,1,3,3,0,0,0,0
3,2,0,3,3,2,5,2,1,2,3,0,0,0,0
3,3,0,4,1,8,3,4,1,2,2,0,0,0,0
3,3,0,4,2,4,2,2,2,4,4,0,0,0,0
3,3,1,4,3,5,2,1,2,1,2,0,0,0,0
3,3,0,5,1,3,4,4,1,1,3,0,0,0,0
3,3,0,5,2,5,3,2,2,3,4,0,0,0,0
3,3,1,5,3,1,1,1,2,2,2,0,0,0,0
3,2,0,6,1,2,3,1,2,1,1,0,0,0,0
3,2,1,6,2,6,2,1,1,4,1,0,0,0,0
3,2,0,6,3,7,2,5,2,3,3,0,0,0,0
3,3,0,7,1,6,5,2,1,4,1,0,0,0,0
3,3,0,7,2,3,1,5,2,3,2,0,0,0,0
