RespNum,sys_InternalRespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,quota,consent_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,comments,sys_RespStatus,sys_DispositionCode,sys_CBCVersion_CBC,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,SUVbuyer,shanghai,shenzhen,chengdu
1,782451,7/27/11 2:30,7/27/11 2:46,956,3,1,1,1,1,2,1,NA,NA,1,10,16,1,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,1,2,3,2,3,2,1,1,1,2,3,3,4,5,2,4,4,3,4,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,9,2,1,5,19,2,8,54,NA,5,7,6,NA,5,NA,795,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
2,1191874,7/27/11 5:00,7/27/11 5:10,610,1,1,1,1,2,3,1,31,QQ,NA,8,14,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,2,1,1,2,3,3,3,1,1,1,2,3,4,2,5,5,4,5,4,3,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,10,5,NA,3,1,3,NA,NA,5,1,1,NA,5,NA,641,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
3,621527,7/27/11 5:54,7/27/11 6:06,700,3,1,1,1,3,2,1,15,C200,2,5,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,2,3,1,1,3,1,1,1,3,3,3,3,5,5,4,4,5,5,5,4,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,14,20,2,19,1,3,54,10029,3,7,6,NA,5,NA,28,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
4,1433749,7/27/11 6:30,7/27/11 6:42,674,1,1,1,1,2,3,1,31,QQ,2,5,10,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,3,3,3,2,3,1,1,3,3,1,2,4,4,5,5,2,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,7,13,11,1,4,1,5,NA,NA,5,7,6,NA,5,NA,998,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
5,1650830,7/29/11 2:52,7/29/11 3:04,743,3,1,1,1,1,2,1,NA,NA,1,10,16,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,3,2,2,1,1,2,2,2,3,1,3,1,1,2,5,5,3,3,2,3,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,4,0,2,2,19,13,5,19,1,8,38,NA,3,3,2,NA,5,NA,639,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
6,1480780,7/29/11 3:23,7/29/11 3:34,642,1,1,1,1,2,2,1,3,325i,3,7,6,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,3,2,2,3,2,1,2,2,1,2,3,5,4,5,5,4,3,3,2,3,2,1,0,0,0,0,1,2,3,0,0,0,0,0,0,5,3,2,21,14,3,7,1,4,NA,NA,6,2,4,NA,5,NA,867,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
7,1053346,7/29/11 5:51,7/29/11 6:02,650,5,1,1,1,1,3,1,NA,NA,1,10,16,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,2,3,3,2,1,1,2,3,2,3,2,2,4,5,5,5,1,4,3,5,5,5,0,0,0,4,0,0,0,0,4,0,0,0,0,0,5,2,22,20,19,3,1,1,5,26,NA,8,3,2,NA,5,NA,641,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
8,781949,7/29/11 6:23,7/29/11 6:34,627,3,1,1,1,1,2,1,1,NA,1,10,16,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,1,2,3,3,3,1,3,1,1,2,2,4,4,5,5,4,4,3,3,4,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,NA,10,12,33,2,13,1,2,47,NA,5,1,2,NA,5,NA,433,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
9,1187565,7/29/11 6:43,7/29/11 6:55,711,3,1,1,1,1,2,1,1,NA,1,10,16,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,2,2,1,1,1,2,3,2,1,2,2,3,3,4,5,4,4,3,4,4,4,1,0,0,0,0,1,0,3,0,0,0,0,0,0,5,3,4,10,14,1,19,1,3,43,NA,5,2,2,NA,5,NA,310,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
10,1343465,7/29/11 7:18,7/29/11 7:32,854,1,1,1,1,2,2,1,1,NA,1,10,16,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,1,1,1,3,3,3,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,481,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
