RespNum,Answer,CodedAns,Task,Concept,Type,Price,Brand,Fast Charge,Fuel Cost,Acceleration,SUVbuyer
1,1,1,1,1,8,3,2,2,3,1,0
1,1,0,1,2,1,4,3,1,3,3,0
1,1,0,1,3,8,1,4,2,4,2,0
1,1,1,2,1,7,2,3,1,3,4,0
1,1,0,2,2,6,5,5,1,3,2,0
1,1,0,2,3,1,5,1,1,2,2,0
1,2,0,3,1,8,1,5,1,2,1,0
1,2,1,3,2,2,2,5,2,1,1,0
1,2,0,3,3,8,2,3,1,4,3,0
1,2,0,4,1,8,1,2,2,2,4,0
1,2,1,4,2,4,3,4,1,2,2,0
1,2,0,4,3,1,3,4,2,1,4,0
1,3,0,5,1,7,4,3,1,4,1,0
1,3,0,5,2,2,5,2,2,2,1,0
1,3,1,5,3,7,3,2,2,1,4,0
1,1,1,6,1,1,5,2,2,2,3,0
1,1,0,6,2,5,5,2,2,4,2,0
1,1,0,6,3,5,1,3,2,4,2,0
1,1,1,7,1,8,2,3,1,3,1,0
1,1,0,7,2,1,2,3,1,4,3,0
1,1,0,7,3,2,4,4,2,3,1,0
1,1,1,8,1,1,3,4,2,2,4,0
1,1,0,8,2,8,3,1,1,4,4,0
1,1,0,8,3,2,1,5,1,4,3,0
1,1,1,9,1,2,1,1,2,1,1,0
1,1,0,9,2,4,2,2,1,4,4,0
1,1,0,9,3,3,5,2,2,3,1,0
1,2,0,10,1,5,5,4,1,2,2,0
1,2,1,10,2,5,5,2,1,1,3,0
1,2,0,10,3,1,4,2,2,3,4,0
1,2,0,11,1,7,4,5,1,2,4,0
1,2,1,11,2,2,3,3,1,1,2,0
1,2,0,11,3,6,5,1,2,2,2,0
1,3,0,12,1,6,3,1,2,2,1,0
1,3,0,12,2,8,5,4,2,3,3,0
1,3,1,12,3,8,3,1,1,1,2,0
1,1,1,13,1,8,5,2,1,2,2,0
1,1,0,13,2,3,5,5,2,2,1,0
1,1,0,13,3,6,5,2,1,3,4,0
1,1,1,14,1,8,4,4,2,2,3,0
1,1,0,14,2,2,4,1,2,4,3,0
1,1,0,14,3,8,2,2,2,4,1,0
1,3,0,15,1,3,4,5,1,4,1,0
1,3,0,15,2,7,2,5,2,4,4,0
1,3,1,15,3,4,2,4,1,4,3,0
2,3,0,1,1,8,5,2,1,2,2,0
2,3,0,1,2,5,2,5,2,1,3,0
2,3,1,1,3,4,3,1,1,4,2,0
2,1,1,2,1,2,1,3,2,2,2,0
2,1,0,2,2,8,5,5,2,2,1,0
2,1,0,2,3,2,4,3,1,1,3,0
2,1,1,3,1,4,1,1,2,3,4,0
2,1,0,3,2,7,2,3,2,1,1,0
2,1,0,3,3,6,2,5,1,4,3,0
2,3,0,4,1,1,1,4,1,2,2,0
2,3,0,4,2,5,5,5,2,4,2,0
2,3,1,4,3,6,2,1,2,2,1,0
2,1,1,5,1,3,3,3,1,3,3,0
2,1,0,5,2,2,4,5,1,1,3,0
2,1,0,5,3,6,5,2,2,3,4,0
2,1,1,6,1,5,4,4,2,2,1,0
2,1,0,6,2,5,5,2,1,3,1,0
