ID,obsnum,Choice,HEV,PHEV,BEV,PHEV_PHEVaer,BEV_BEVaer,PHEV_FastCharge,BEV_FastCharge,Price,OpCost,Acceleration,American,Japanese,Chinese,SKorean
1,1,0,0,0,1,0,75,0,0,50,9,10,0,0,0,1
1,1,1,0,1,0,10,0,1,0,37,23,5.5,0,1,0,0
1,1,0,0,0,0,0,0,0,0,37,23,8.5,0,0,1,0
1,2,0,0,1,0,0,0,0,0,20,19,7,0,0,0,0
1,2,0,0,0,1,0,25,0,1,30,9,5.5,0,0,0,1
1,2,1,1,0,0,0,0,0,0,37,23,5.5,1,0,0,0
1,3,1,1,0,0,0,0,0,0,50,13,7,0,1,0,0
1,3,0,0,0,1,0,75,0,0,25,19,8.5,0,0,0,1
1,3,0,0,1,0,10,0,1,0,30,13,10,1,0,0,0
1,4,0,0,0,0,0,0,0,0,50,23,7,0,1,0,0
1,4,0,0,0,1,0,25,0,0,20,19,7,0,0,0,0
1,4,1,0,1,0,10,0,1,0,25,23,5.5,0,1,0,0
1,5,1,0,0,1,0,25,0,0,20,19,5.5,0,1,0,0
1,5,0,0,0,0,0,0,0,0,50,23,5.5,1,0,0,0
1,5,0,0,0,0,0,0,0,0,50,19,7,0,0,0,0
1,6,0,0,0,1,0,75,0,0,50,9,7,0,0,0,1
1,6,1,0,0,1,0,75,0,1,20,13,5.5,1,0,0,0
1,6,0,0,1,0,10,0,1,0,50,13,8.5,0,0,0,1
1,7,0,0,0,1,0,75,0,1,37,19,7,0,0,1,0
1,7,1,0,0,1,0,75,0,1,25,19,7,0,0,0,0
1,7,0,0,1,0,10,0,1,0,20,9,8.5,0,0,0,0
1,8,0,0,1,0,10,0,1,0,25,19,8.5,0,0,0,1
1,8,1,0,1,0,10,0,1,0,37,9,5.5,1,0,0,0
1,8,0,0,0,0,0,0,0,0,37,23,8.5,0,0,0,1
1,9,0,0,0,1,0,75,0,0,30,13,10,1,0,0,0
1,9,1,0,0,1,0,25,0,1,50,9,7,0,0,0,1
1,9,0,1,0,0,0,0,0,0,37,9,10,0,0,1,0
1,10,0,0,1,0,0,0,1,0,25,9,8.5,0,0,0,0
1,10,1,1,0,0,0,0,0,0,30,9,7,0,0,0,1
1,10,0,0,0,1,0,25,0,1,25,23,7,0,0,0,1
1,11,1,0,0,1,0,25,0,1,50,9,7,0,1,0,0
1,11,0,0,0,1,0,25,0,0,37,13,8.5,0,0,0,0
1,11,0,0,0,1,0,0,0,0,50,13,7,1,0,0,0
