"zipcode","state","population","popdens","lat","long","urban","suburban","rural","mturk","suv","region"
2726,"MA",2943,2809.041591,41.757,-71.151,0,1,0,1,0,5
86314,"AZ",9214,476.4021604,34.656,-112.305,0,0,1,1,0,2
45245,"OH",3833,1177.269841,39.068,-84.28,0,1,0,1,0,3
90802,"CA",9961,6072.067901,33.747,-118.213,1,0,0,1,0,1
33010,"FL",11384,10691.43519,25.828,-80.286,1,0,0,1,0,4
54729,"WI",8715,189.1506882,44.946,-91.408,0,0,1,1,0,3
10010,"NY",8785,81625.64103,40.739,-73.983,1,0,0,1,0,5
30005,"GA",9223,2376.94962,34.091,-84.218,0,1,0,1,0,4
53919,"WI",4828,38.21776421,43.735,-88.77,0,0,1,1,0,3
85704,"AZ",8599,1730.77784,32.341,-110.981,0,1,0,1,0,2
29461,"SC",8444,185.1981567,33.152,-80.016,0,0,1,1,0,4
16342,"PA",4503,36.93927126,41.318,-79.921,0,0,1,1,0,5
57006,"SD",6317,157.769488,44.348,-96.817,0,0,1,1,0,3
12207,"NY",941,1837.735849,42.655,-73.751,0,1,0,1,0,5
95207,"CA",11516,6606.749311,38,-121.325,1,0,0,1,0,1
77573,"TX",14153,2372.555519,29.512,-95.087,0,1,0,1,0,4
15214,"PA",2563,3053.617021,40.483,-80.016,1,0,0,1,0,5
6511,"CT",12500,9038.785835,41.309,-72.925,1,0,0,1,0,5
26287,"WV",7707,20.60410634,39.138,-79.673,0,0,1,1,0,4
60005,"IL",7436,4467.682927,42.058,-87.984,1,0,0,1,0,3
98122,"WA",8712,13616.45022,47.614,-122.297,1,0,0,1,0,1
62061,"IL",717,71.02108309,38.786,-89.794,0,0,1,1,0,3
94015,"CA",13374,10577.60417,37.676,-122.476,1,0,0,1,0,1
94702,"CA",3074,12581.88976,37.864,-122.286,1,0,0,1,0,1
43528,"OH",3219,883.3333333,41.635,-83.751,0,0,1,1,0,3
78109,"TX",9247,1654.854137,29.479,-98.274,0,1,0,1,0,4
32570,"FL",7319,90.22511663,30.8,-86.986,0,0,1,1,0,4
75801,"TX",3333,78.2805219,31.772,-95.584,0,0,1,1,0,4
25413,"WV",13874,336.3799283,39.315,-78.048,0,0,1,1,0,4
